"","id","created_at","updated_at","active","bats","birth_date","captain","city","country","draft_overall_pick","draft_round","draft_season","draft_team_name","first_name","handedness","height","high_school","humanized_salary","last_name","mlbam_id","name","nickname","position_abbreviation","position_name","pro_debut","salary","salary_currency","school","slug","sport","state","uniform_number","unit_of_height","unit_of_weight","weight","years_of_experience","league_id","playing_position_id","team_id"
"11","6c246afc-e325-4e8b-81fe-233569e1173b","2016-01-06T01:53:33-05:00","2016-10-19T12:59:04-04:00",TRUE,"bats_unknown","1990-06-18","N","St. John's","",44,2,"2008",NA,"Luke","unknown",74,NA,"600,000","Adam",NA,"Luke Adam",NA,"C","Center",NA,600000,"USD",NA,"nhl-luke-adam","hockey","","17","inches","pounds",206,3,"48803e9e-c4ec-414a-a85d-9abfa6e9cfd9","a0248bb6-90aa-40e4-b849-70d257ed45d3","926ad5ca-c17f-4b20-8b72-9043b6066bc9"
"12","9313430c-f25c-4586-97d0-f2e2c21cfa98","2016-04-06T11:05:29-04:00","2017-03-07T09:36:28-05:00",TRUE,"bats_unknown","1977-04-26",NA,"Seria","",223,9,"1996","Hartford","Craig","unknown",72,NA,"700,000","Adams",NA,"Craig Adams","Craig","RW","Right Wing",NA,700000,"USD",NA,"nhl-craig-adams","hockey","","27","inches","pounds",197,11,"48803e9e-c4ec-414a-a85d-9abfa6e9cfd9","3132cb24-c9a9-406f-bb88-1692e013e3cf","26390f10-d08d-4a78-acf6-ac0a5d31a78c"
"13","c72a293b-4680-4d61-96fa-9ddf42532b1d","2016-04-06T11:05:33-04:00","2016-04-06T11:05:33-04:00",TRUE,"bats_unknown","1974-10-08",NA,"Washington","USA",25,1,"1993","Boston","Kevyn","right",73,NA,"0","Adams",NA,"Kevyn Adams",NA,"C","Center",NA,NA,"USD",NA,"nhl-kevyn-adams","hockey","District of Columbia","17","inches","pounds",200,0,"48803e9e-c4ec-414a-a85d-9abfa6e9cfd9","a0248bb6-90aa-40e4-b849-70d257ed45d3","a345b10e-87b5-4635-bf24-fd6be058346f"
"14","0b80c556-8f4c-410d-b013-c5ca1ae4ce99","2016-10-12T19:12:23-04:00","2016-10-19T13:00:18-04:00",TRUE,"bats_unknown",NA,"N",NA,"",NA,NA,NA,NA,"Jeremiah","unknown",NA,NA,"0","Addison",NA,"Jeremiah Addison",NA,"F","F",NA,NA,"USD",NA,"nhl-jeremiah-addison","hockey","","64","inches","pounds",NA,NA,"48803e9e-c4ec-414a-a85d-9abfa6e9cfd9",NA,"80d99c5a-882e-4296-ae9d-048d2830b154"
"15","c0165b6d-f081-4258-a455-0ed22fb7e1d0","2016-04-06T11:04:52-04:00","2016-04-06T11:04:52-04:00",TRUE,"bats_unknown","1979-09-04",NA,"Moscow","RUS",69,3,"1997","Buffalo","Maxim","left",73,NA,"0","Afinogenov",NA,"Maxim Afinogenov",NA,"RW","Right Wing",NA,NA,"USD",NA,"nhl-maxim-afinogenov","hockey",NA,"61","inches","pounds",190,0,"48803e9e-c4ec-414a-a85d-9abfa6e9cfd9","3132cb24-c9a9-406f-bb88-1692e013e3cf","1deb863f-6919-4b88-8a38-51753f3f3032"
"16","13d3f482-db37-4081-8faa-5032d3ee820c","2016-01-06T01:55:00-05:00","2017-04-03T13:17:28-04:00",TRUE,"bats_unknown","1992-04-30","N","Morristown","USA",140,5,"2010","Pittsburgh","Kenny","unknown",72,NA,"735,000","Agostino",NA,"Kenny Agostino","Kenny","LW","Left Wing",NA,735000,"USD","Yale","nhl-kenny-agostino","hockey","NJ","73","inches","pounds",202,1,"48803e9e-c4ec-414a-a85d-9abfa6e9cfd9","4329a9bc-8f07-4c48-8e19-b142678e68c6","4ca89483-65ae-484d-bda9-eacba9ff4915"
"17","b41e18cd-e40a-4cdc-9390-9b229e9abfe1","2016-01-06T01:44:03-05:00","2016-10-19T13:04:01-04:00",TRUE,"bats_unknown","1991-01-03","N","Kleinburg","",NA,NA,NA,NA,"Andrew","unknown",70,NA,"890,000","Agozzino",NA,"Andrew Agozzino",NA,"LW","Left Wing",NA,890000,"USD",NA,"nhl-andrew-agozzino","hockey","","87","inches","pounds",187,1,"48803e9e-c4ec-414a-a85d-9abfa6e9cfd9","4329a9bc-8f07-4c48-8e19-b142678e68c6","4ca89483-65ae-484d-bda9-eacba9ff4915"
"18","2c79d26c-3b45-47e8-806a-5bc62a98e530","2016-06-14T21:00:46-04:00","2017-05-08T13:17:41-04:00",TRUE,"bats_unknown","1997-07-26","N","Rauma","FIN",35,2,"2015","Carolina","Sebastian","unknown",71,NA,"0","Aho",NA,"Sebastian Aho","Sebastian","RW","Right Wing",NA,NA,"USD",NA,"nhl-sebastian-aho","hockey","","20","inches","pounds",172,0,"48803e9e-c4ec-414a-a85d-9abfa6e9cfd9","3132cb24-c9a9-406f-bb88-1692e013e3cf","b0c4bd8e-fba7-4374-87d2-68bd4ab20875"
"19","25325657-86e1-42b8-a285-8e513fc0f2d6","2016-04-06T11:15:07-04:00","2017-03-07T09:39:38-05:00",TRUE,"bats_unknown","1992-08-06",NA,"Tampere","",107,4,"2010","Colorado","Sami","unknown",73,NA,"780,000","Aittokallio",NA,"Sami Aittokallio","Sami","G","Goaltender",NA,780000,"USD",NA,"nhl-sami-aittokallio","hockey","","30","inches","pounds",174,2,"48803e9e-c4ec-414a-a85d-9abfa6e9cfd9","7645fd84-1e25-4586-9f28-87e273af60f3","4cab4924-a7f5-43c5-8c16-73276fe5b485"
"20","0a9b94bb-613d-4df5-b5ae-31471110cac2","2016-01-06T01:54:23-05:00","2017-03-07T09:39:08-05:00",FALSE,"bats_unknown","1990-06-03",NA,"Orleans","",NA,NA,NA,NA,"Jason","unknown",70,NA,"575,000","Akeson",NA,"Jason Akeson","Jason","RW","Right Wing",NA,575000,"USD",NA,"nhl-jason-akeson","hockey","","20","inches","pounds",190,3,"48803e9e-c4ec-414a-a85d-9abfa6e9cfd9","3132cb24-c9a9-406f-bb88-1692e013e3cf","c94be617-bf0c-4516-82b8-782d7aa783ae"
"21","910dd960-134f-4a1e-9f69-42e8f7b1ee4f","2016-01-06T03:18:54-05:00","2016-10-12T19:15:13-04:00",FALSE,"bats_unknown","1997-03-03","N",NA,"",NA,NA,NA,NA,"Alexandre","unknown",72,NA,"0","Alain",NA,"Alexandre Alain",NA,"C","Center",NA,0,"USD",NA,"nhl-alexandre-alain","hockey","","0","inches","pounds",177,0,"48803e9e-c4ec-414a-a85d-9abfa6e9cfd9","a0248bb6-90aa-40e4-b849-70d257ed45d3","efd97f2d-fe29-4fe8-9f01-cfad8488c0c2"
"22","c3972764-e510-4b7f-ab31-f9410b036a02","2016-04-06T11:06:38-04:00","2016-04-06T11:06:38-04:00",FALSE,"bats_unknown","1985-10-15",NA,"Melville","CAN",NA,NA,NA,NA,"Paul","left",73,NA,"0","Albers",NA,"Paul Albers",NA,"LW","Left Wing",NA,NA,"USD",NA,"nhl-paul-albers","hockey","Saskatchewan",NA,"inches","pounds",185,0,"48803e9e-c4ec-414a-a85d-9abfa6e9cfd9","4329a9bc-8f07-4c48-8e19-b142678e68c6","4043825f-90d4-4f0d-8eb6-c734a2eafe9f"
"23","afd826de-67ce-457b-83ba-1650d69fd320","2016-01-06T03:20:33-05:00","2017-03-07T09:43:14-05:00",FALSE,"bats_unknown","1989-01-19",NA,"Cleveland","",175,6,"2007","Atlanta","John","unknown",71,NA,"0","Albert",NA,"John Albert","John","C","Center",NA,0,"USD",NA,"nhl-john-albert","hockey","","70","inches","pounds",190,1,"48803e9e-c4ec-414a-a85d-9abfa6e9cfd9","a0248bb6-90aa-40e4-b849-70d257ed45d3","157c2242-afa5-499d-906d-6a992927e58d"
"24","f88649ca-612a-4665-a787-86fac0f8acf5","2016-04-06T11:04:57-04:00","2017-03-07T09:39:25-05:00",TRUE,"bats_unknown","1981-06-30",NA,"Minneapolis","",179,6,"2001","Boston","Andrew","unknown",77,NA,"1,225,000","Alberts",NA,"Andrew Alberts","Andrew","D","Defense",NA,1225000,"USD",NA,"nhl-andrew-alberts","hockey","","41","inches","pounds",218,7,"48803e9e-c4ec-414a-a85d-9abfa6e9cfd9","d3a3ddfb-4a36-4ae1-964b-9d2deadba761","b6bc24e7-bd37-461e-a7b2-af79f68b2438"
"25","90aa4a94-97c3-4a55-bb33-295003b29f73","2016-01-06T03:20:21-05:00","2017-03-07T09:42:40-05:00",FALSE,"bats_unknown","1992-01-22",NA,"Oakville","",NA,NA,NA,NA,"Brandon","unknown",76,NA,"792,500","Alderson",NA,"Brandon Alderson","Brandon","RW","Right Wing",NA,792500,"USD",NA,"nhl-brandon-alderson","hockey","","64","inches","pounds",195,1,"48803e9e-c4ec-414a-a85d-9abfa6e9cfd9","3132cb24-c9a9-406f-bb88-1692e013e3cf","c94be617-bf0c-4516-82b8-782d7aa783ae"
"26","c422dec9-a70f-45e9-b402-10b9872b3fbd","2016-04-06T11:15:13-04:00","2016-04-06T11:15:13-04:00",FALSE,"bats_unknown","1992-07-30",NA,"Fort Wayne","USA",NA,NA,NA,NA,"Alex","right",69,NA,"0","Aleardi",NA,"Alex Aleardi",NA,"RW","Right Wing",NA,NA,"USD",NA,"nhl-alex-aleardi","hockey","Indiana","84","inches","pounds",167,0,"48803e9e-c4ec-414a-a85d-9abfa6e9cfd9","3132cb24-c9a9-406f-bb88-1692e013e3cf","54410a6b-c9e0-443e-a4cf-b3e22f2cbb75"
"27","ba21b625-ac8b-40d5-90c0-e6877316a304","2016-10-12T19:12:23-04:00","2016-10-12T19:34:47-04:00",FALSE,"bats_unknown",NA,"N",NA,"",NA,NA,NA,NA,"Victor","unknown",NA,NA,"0","Alexandrov",NA,"Victor Alexandrov",NA,"F","F",NA,NA,"USD",NA,"nhl-victor-alexandrov","hockey","","0","inches","pounds",NA,NA,"48803e9e-c4ec-414a-a85d-9abfa6e9cfd9",NA,"4ca89483-65ae-484d-bda9-eacba9ff4915"
"28","9ff8b25c-4305-477f-a377-27a42a184147","2016-04-06T11:08:16-04:00","2016-04-06T11:08:16-04:00",TRUE,"bats_unknown","1981-12-27",NA,"Murmansk","RUS",8,1,"2000","Tampa Bay","Nikita","left",77,NA,"0","Alexeev",NA,"Nikita Alexeev",NA,"LW","Left Wing",NA,NA,"USD",NA,"nhl-nikita-alexeev","hockey",NA,"34","inches","pounds",227,0,"48803e9e-c4ec-414a-a85d-9abfa6e9cfd9","4329a9bc-8f07-4c48-8e19-b142678e68c6","a345b10e-87b5-4635-bf24-fd6be058346f"
"29","91e36497-20fa-468b-9ad8-002e249a1ec9","2016-04-06T11:12:44-04:00","2017-03-07T09:36:02-05:00",TRUE,"bats_unknown","1972-12-11",NA,"Gothenburg","",133,6,"1994","Ottawa","Daniel","unknown",71,NA,"4,500,000","Alfredsson",NA,"Daniel Alfredsson","Daniel","RW","Right Wing",NA,4500000,"USD",NA,"nhl-daniel-alfredsson","hockey","","11","inches","pounds",196,16,"48803e9e-c4ec-414a-a85d-9abfa6e9cfd9","3132cb24-c9a9-406f-bb88-1692e013e3cf","c2a7d98a-fa2c-446e-9682-a8949854023e"
"30","404ed744-1d3f-4bba-937d-969bef13eab7","2016-04-06T11:10:01-04:00","2016-04-06T11:12:56-04:00",TRUE,"bats_unknown","1989-04-24",NA,"Okene","NGA",56,2,"2007","Chicago","Akim","right",76,NA,"0","Aliu",NA,"Akim Aliu",NA,"RW","Right Wing",NA,NA,"USD",NA,"nhl-akim-aliu","hockey",NA,"29","inches","pounds",225,1,"48803e9e-c4ec-414a-a85d-9abfa6e9cfd9","3132cb24-c9a9-406f-bb88-1692e013e3cf","926ad5ca-c17f-4b20-8b72-9043b6066bc9"
"31","cf4b6a4c-3927-4f8f-b60e-a27ad8f2588e","2016-10-12T19:16:03-04:00","2016-10-19T12:56:45-04:00",TRUE,"bats_unknown",NA,"N",NA,"",NA,NA,NA,NA,"Frederic","unknown",NA,NA,"0","Allard",NA,"Frederic Allard",NA,"D","D",NA,NA,"USD",NA,"nhl-frederic-allard","hockey","","72","inches","pounds",NA,NA,"48803e9e-c4ec-414a-a85d-9abfa6e9cfd9",NA,"098b2599-0a70-47af-b38e-0e4e7a0acace"
"32","cc06077c-39a1-4fee-ac9a-725e8e7d7f56","2016-04-06T11:04:57-04:00","2016-04-06T11:04:57-04:00",TRUE,"bats_unknown","1978-11-14",NA,"Braintree","USA",52,2,"1998","Boston","Bobby","left",72,NA,"0","Allen",NA,"Bobby Allen",NA,"D","Defense",NA,NA,"USD",NA,"nhl-bobby-allen","hockey","Massachusetts","38","inches","pounds",200,0,"48803e9e-c4ec-414a-a85d-9abfa6e9cfd9","d3a3ddfb-4a36-4ae1-964b-9d2deadba761","e9d7bcb5-6723-4ca9-b1d9-1ccd026be1cb"
"33","b1d8e359-cee6-43af-9cf2-317c129fc3bd","2016-04-06T11:05:54-04:00","2017-03-07T09:39:31-05:00",FALSE,"bats_unknown","1980-08-21",NA,"Kingston","",4,1,"1998","Vancouver","Bryan","unknown",77,NA,"3,500,000","Allen",NA,"Bryan Allen","Bryan","D","Defense",NA,3500000,"USD",NA,"nhl-bryan-allen","hockey","","6","inches","pounds",223,14,"48803e9e-c4ec-414a-a85d-9abfa6e9cfd9","d3a3ddfb-4a36-4ae1-964b-9d2deadba761","0e39b5fe-bbac-4488-8a4c-6556fa1fff88"
"34","92b85f1a-360d-4928-9b27-8f8e1e5b3fe4","2016-01-06T01:53:21-05:00","2016-10-12T19:30:52-04:00",FALSE,"bats_unknown","1990-01-31","N","Chicago","",NA,NA,NA,NA,"Conor","unknown",73,NA,"575,000","Allen",NA,"Conor Allen",NA,"D","Defense",NA,575000,"USD",NA,"nhl-conor-allen","hockey","","7","inches","pounds",203,1,"48803e9e-c4ec-414a-a85d-9abfa6e9cfd9","d3a3ddfb-4a36-4ae1-964b-9d2deadba761","c2a7d98a-fa2c-446e-9682-a8949854023e"
"35","85938f77-5389-4c2c-9790-a9bd3f629eaf","2016-01-06T01:31:57-05:00","2017-05-08T13:17:21-04:00",TRUE,"bats_unknown","1990-08-07","N","Fredericton","CAN",34,2,"2008","St. Louis","Jake","unknown",74,NA,"2,200,000","Allen",NA,"Jake Allen","Jake","G","Goaltender",NA,2200000,"USD",NA,"nhl-jake-allen","hockey","NB","34","inches","pounds",195,3,"48803e9e-c4ec-414a-a85d-9abfa6e9cfd9","7645fd84-1e25-4586-9f28-87e273af60f3","4ca89483-65ae-484d-bda9-eacba9ff4915"
"36","66576dd5-ebc0-4682-861e-1d04e097f63f","2016-10-12T19:12:43-04:00","2016-10-12T19:29:16-04:00",FALSE,"bats_unknown",NA,"N",NA,"",NA,NA,NA,NA,"Scott","unknown",NA,NA,"0","Allen",NA,"Scott Allen",NA,"F","F",NA,NA,"USD",NA,"nhl-scott-allen","hockey","","0","inches","pounds",NA,NA,"48803e9e-c4ec-414a-a85d-9abfa6e9cfd9",NA,"10c78613-f4e5-4ebf-a259-e3643aa3785a"
"37","3bec8d5b-f1c1-4e3d-ac3e-ee8f9f9e7439","2016-01-06T03:20:38-05:00","2017-03-07T09:38:04-05:00",FALSE,"bats_unknown","1992-01-28",NA,"Skelleftea","",NA,NA,NA,NA,"Johan","unknown",75,NA,"792,500","Alm",NA,"Johan Alm","Johan","D","Defense",NA,792500,"USD",NA,"nhl-johan-alm","hockey","","44","inches","pounds",209,1,"48803e9e-c4ec-414a-a85d-9abfa6e9cfd9","d3a3ddfb-4a36-4ae1-964b-9d2deadba761","098b2599-0a70-47af-b38e-0e4e7a0acace"
"38","11a28e17-888e-46b1-a8d1-9af5c571f3bc","2016-04-06T11:09:22-04:00","2017-03-07T09:40:21-05:00",FALSE,"bats_unknown","1989-07-24",NA,"Calgary","",140,5,"2007","Minnesota","Cody","unknown",74,NA,"550,000","Almond",NA,"Cody Almond","Cody","C","Center",NA,550000,"USD",NA,"nhl-cody-almond","hockey","","12","inches","pounds",199,0,"48803e9e-c4ec-414a-a85d-9abfa6e9cfd9","a0248bb6-90aa-40e4-b849-70d257ed45d3","4043825f-90d4-4f0d-8eb6-c734a2eafe9f"
"39","d4902935-2a8a-4a00-bddc-7be79cc23bbc","2017-03-07T09:36:01-05:00","2017-03-07T09:36:01-05:00",FALSE,"bats_unknown",NA,NA,NA,"",NA,NA,NA,NA,"Adam","unknown",NA,NA,"0","Almquist",NA,"Adam Almquist","Adam","D","D",NA,NA,"USD",NA,"nhl-adam-almquist","hockey","","53","inches","pounds",NA,NA,"48803e9e-c4ec-414a-a85d-9abfa6e9cfd9",NA,"c2a7d98a-fa2c-446e-9682-a8949854023e"
"40","d2ce694f-54d7-468f-aecd-e72dc8f99b5b","2016-01-06T03:20:21-05:00","2016-10-19T13:00:59-04:00",TRUE,"bats_unknown","1991-10-18","N","Kansas City","",53,2,"2010",NA,"Mark","unknown",76,NA,"815,000","Alt",NA,"Mark Alt",NA,"D","Defense",NA,815000,"USD",NA,"nhl-mark-alt","hockey","","39","inches","pounds",201,2,"48803e9e-c4ec-414a-a85d-9abfa6e9cfd9","d3a3ddfb-4a36-4ae1-964b-9d2deadba761","c94be617-bf0c-4516-82b8-782d7aa783ae"
"41","27e51c1f-739c-4a34-8b93-689d3cae511e","2016-01-06T03:17:20-05:00","2017-01-04T12:18:05-05:00",TRUE,"bats_unknown","1994-07-24","N","Ottawa","CAN",69,3,"2012","Carolina","Daniel","unknown",75,NA,"755,000","Altshuller",NA,"Daniel Altshuller",NA,"G","Goaltender",NA,755000,"USD",NA,"nhl-daniel-altshuller","hockey","ON","40","inches","pounds",205,1,"48803e9e-c4ec-414a-a85d-9abfa6e9cfd9","7645fd84-1e25-4586-9f28-87e273af60f3","b0c4bd8e-fba7-4374-87d2-68bd4ab20875"
"42","a1e9447d-2969-4b0f-a182-4eb8d0bebc4b","2017-01-01T12:17:26-05:00","2017-01-03T18:12:57-05:00",TRUE,"bats_unknown","1979-01-30",NA,"Stoughton","USA",NA,NA,NA,NA,"Jorge","unknown",70,NA,"0","Alves",NA,"Jorge Alves",NA,"G","G",NA,NA,"USD",NA,"nhl-jorge-alves","hockey","MA","40","inches","pounds",185,NA,"48803e9e-c4ec-414a-a85d-9abfa6e9cfd9",NA,"b0c4bd8e-fba7-4374-87d2-68bd4ab20875"
"43","0aa45b55-b558-4e7c-b938-e8bba6eaf910","2016-01-06T01:32:31-05:00","2017-05-08T13:17:37-04:00",TRUE,"bats_unknown","1988-09-24","N","Burnaby","CAN",5,1,"2007","Washington","Karl","unknown",74,NA,"2,800,000","Alzner",NA,"Karl Alzner","Karl","D","Defense",NA,2800000,"USD",NA,"nhl-karl-alzner","hockey","BC","27","inches","pounds",214,7,"48803e9e-c4ec-414a-a85d-9abfa6e9cfd9","d3a3ddfb-4a36-4ae1-964b-9d2deadba761","54276c06-42a0-4649-838c-a462451d54c8"
"44","f9ddc1ce-8537-4f93-ac14-ff39c5140251","2016-01-06T03:18:35-05:00","2016-10-19T12:58:36-04:00",TRUE,"bats_unknown","1996-05-13","N","Sault Ste Marie","",30,3,"2014",NA,"Michael","unknown",73,NA,"0","Amadio",NA,"Michael Amadio",NA,"C","Center",NA,0,"USD",NA,"nhl-michael-amadio","hockey","","0","inches","pounds",190,0,"48803e9e-c4ec-414a-a85d-9abfa6e9cfd9","a0248bb6-90aa-40e4-b849-70d257ed45d3","ae19bcc6-3f57-46a0-9a14-6b0752155691"
"45","e71f94de-790c-4e39-8cba-f8e754cb3dd9","2016-01-06T01:54:19-05:00","2017-03-07T09:40:34-05:00",FALSE,"bats_unknown","1993-04-03",NA,"New Prague","",128,5,"2011","Columbus","Seth","unknown",74,NA,"0","Ambroz",NA,"Seth Ambroz","Seth","RW","Right Wing",NA,0,"USD",NA,"nhl-seth-ambroz","hockey","","77","inches","pounds",209,0,"48803e9e-c4ec-414a-a85d-9abfa6e9cfd9","3132cb24-c9a9-406f-bb88-1692e013e3cf","54410a6b-c9e0-443e-a4cf-b3e22f2cbb75"
"46","0d3ac4da-91ce-4e44-895f-a8e4a394fd31","2016-10-12T19:13:16-04:00","2017-05-08T13:17:17-04:00",TRUE,"bats_unknown","1993-06-01","N","Potomac","USA",NA,NA,NA,NA,"Sam","unknown",68,NA,"0","Anas",NA,"Sam Anas","Sam","F","F",NA,NA,"USD","Quinnipiac","nhl-sam-anas","hockey","MD","48","inches","pounds",163,0,"48803e9e-c4ec-414a-a85d-9abfa6e9cfd9",NA,"4043825f-90d4-4f0d-8eb6-c734a2eafe9f"
"47","0a85b1a8-5cf2-4a19-9dfc-c9c3f1533cee","2016-01-06T01:32:52-05:00","2017-05-08T13:17:29-04:00",TRUE,"bats_unknown","1989-10-02","N","Herning","DNK",87,3,"2012","Anaheim","Frederik","unknown",75,NA,"1,300,000","Andersen",NA,"Frederik Andersen","Frederik","G","Goaltender",NA,1300000,"USD",NA,"nhl-frederik-andersen","hockey","","31","inches","pounds",236,2,"48803e9e-c4ec-414a-a85d-9abfa6e9cfd9","7645fd84-1e25-4586-9f28-87e273af60f3","2d8d4fda-a9b9-4978-abcc-31b9dfb47175"
"48","67df309f-1319-42d2-9e98-d09fdc36d50f","2016-01-06T01:53:39-05:00","2017-03-07T09:40:34-05:00",FALSE,"bats_unknown","1988-04-28",NA,"Grums","",114,4,"2006","Los Angeles","Niclas","unknown",73,NA,"625,000","Andersen",NA,"Niclas Andersen","Niclas","D","Defense",NA,625000,"USD",NA,"nhl-niclas-andersen","hockey","","38","inches","pounds",218,0,"48803e9e-c4ec-414a-a85d-9abfa6e9cfd9","d3a3ddfb-4a36-4ae1-964b-9d2deadba761","26390f10-d08d-4a78-acf6-ac0a5d31a78c"
